-87,-67,-85,-77,-86,-78,-75,-80,-87,-85
-86,-61,-85,-72,-84,-75,-75,-77,-87,-87
-83,-76,-87,-71,-83,-77,-74,-76,-82,-87
-84,-76,-85,-68,-87,-78,-72,-78,-83,-85
-86,-76,-84,-77,-81,-84,-73,-82,-83,-85
-83,-69,-83,-69,-90,-85,-73,-82,-86,-83
-83,-72,-83,-74,-88,-77,-73,-81,-86,-84
-84,-69,-83,-88,-86,-76,-76,-78,-82,-82
-93,-71,-85,-68,-87,-84,-72,-81,-82,-85
-93,-77,-84,-74,-87,-75,-74,-81,-86,-85
-84,-69,-83,-81,-85,-75,-77,-81,-81,-82
-90,-67,-83,-71,-81,-84,-75,-75,-82,-83
-86,-71,-87,-69,-82,-76,-74,-79,-85,-83
-93,-78,-84,-80,-83,-75,-78,-79,-83,-84
-93,-83,-88,-66,-82,-77,-71,-78,-88,-84
-86,-83,-84,-84,-87,-77,-80,-86,-85,-85
-96,-62,-83,-70,-82,-75,-72,-82,-87,-85
-83,-71,-86,-69,-87,-76,-71,-84,-87,-85
-83,-57,-84,-77,-82,-75,-76,-87,-89,-84
-94,-71,-82,-72,-83,-76,-71,-77,-82,-85
-89,-79,-84,-71,-83,-76,-73,-83,-86,-87
-92,-79,-85,-78,-84,-82,-74,-77,-84,-84
-89,-78,-86,-68,-85,-78,-71,-80,-87,-86
-86,-77,-85,-88,-85,-75,-79,-81,-85,-84
-83,-69,-87,-78,-87,-82,-73,-80,-87,-88
-84,-70,-83,-67,-87,-76,-72,-87,-85,-83
-84,-72,-82,-80,-87,-75,-76,-85,-83,-82
-84,-70,-86,-71,-86,-77,-71,-82,-83,-83
-83,-68,-86,-75,-83,-78,-70,-80,-83,-83
-83,-63,-84,-79,-83,-77,-72,-82,-88,-87
-82,-76,-98,-83,-71,-76,-82,-79,0,0
-83,-88,-98,-85,-72,-70,-81,-83,0,0
-82,-74,-98,-84,-72,-71,-81,-74,0,0
-86,-85,-98,-85,-70,-70,-76,-74,0,0
-84,-78,-99,-86,-71,-73,-81,-74,-98,0
-83,-82,-97,-82,-71,-77,-91,-82,-99,-97
-88,-87,-97,-91,-72,-69,-84,-79,-98,-97
-86,-81,-97,-88,-70,-75,-92,-89,-98,-97
-84,-86,-97,-83,-72,-76,-76,-73,-98,-97
-84,-83,-97,-84,-74,-72,-79,-78,-98,-97
-85,-79,-97,-87,-65,-82,-94,-75,-98,-97
-84,-88,-99,-89,-64,-70,-87,-82,-97,-97
-84,-87,-99,-96,-70,-82,-78,-82,-97,-99
-89,-83,-99,-88,-74,-82,-92,-85,-97,-99
-84,-86,-99,-97,-70,-70,-77,-86,-97,-99
-85,-86,-99,-86,-69,-72,-78,-84,-97,-101
-90,-86,-99,-88,-66,-77,-76,-83,-97,-101
-84,-89,-99,-92,-77,-71,-79,-78,-100,-99
-84,-85,-99,-87,-70,-69,-79,-85,-100,-99
-86,-90,-99,-90,-67,-80,-86,-83,-100,-101
-89,-89,-99,-89,-69,-71,-78,-78,-100,-101
-86,-90,-99,-89,-66,-80,-87,-80,-100,-101
-82,-89,0,-88,-66,-85,-90,-77,-100,-101
-84,-82,0,-96,-69,-71,-79,-82,-100,-101
-88,-86,0,-90,-62,-79,-90,-80,-100,-101
-89,-87,0,-90,-76,-70,-78,-84,-100,-101
-88,-82,0,-93,-70,-70,-84,-84,-100,-101
-87,-87,0,-89,-70,-76,-77,-84,-100,-101
-85,-82,0,-96,-72,-70,-80,-84,-100,-100
-85,-87,0,-83,-70,-77,-92,-78,-97,-100
