"longitude","latitude"
-58.3743283333,-34.59794
-58.3745266667,-34.59805
-58.374265,-34.5980766667
-58.37457,-34.598
-58.3747083333,-34.59539
-58.3741516667,-34.59441
-58.3732783333,-34.59316
-58.373305,-34.59316
-58.3730133333,-34.5926366667
-58.3725183333,-34.5918766667
-58.3745433333,-34.591625
-58.3747366667,-34.5918666667
-58.3761583333,-34.5919
-58.3803966667,-34.5894066667
-58.3851816667,-34.5867933333
-58.3875733333,-34.585495
-58.3885566667,-34.5849966667
-58.3926,-34.5831133333
-58.3925366667,-34.583195
-58.392635,-34.583145
-58.392635,-34.583145
-58.3932883333,-34.5826766667
-58.3929233333,-34.582965
-58.3928083333,-34.5830866667
-58.3927833333,-34.583085
-58.3927833333,-34.583085
-58.3959516667,-34.58161
-58.3964033333,-34.5833366667
-58.3911966667,-34.5850233333
-58.3902066667,-34.5871066667
-58.3901783333,-34.5871216667
-58.3908583333,-34.58769
-58.391405,-34.5873716667
-58.3915283333,-34.58725
-58.3915283333,-34.58725
-58.3912516667,-34.5845633333
-58.3908533333,-34.5812383333
-58.3904533333,-34.5779133333
-58.3925566667,-34.58729
-58.392415,-34.5872416667
-58.392415,-34.5872416667
-58.3921583333,-34.5867183333
-58.3918733333,-34.5868616667
-58.3922283333,-34.58702
-58.394185,-34.5841483333
-58.396565,-34.581335
-58.3919066667,-34.5868966667
-58.3918616667,-34.58722
-58.3918966667,-34.5876166667
-58.392,-34.5874633333
-58.3923166667,-34.58755
-58.3923166667,-34.58755
-58.3929066667,-34.586245
-58.3929066667,-34.586245
-58.3921466667,-34.5874166667
-58.3921133333,-34.5871333333
-58.3921133333,-34.5871333333
-58.3921133333,-34.5871333333
-58.3921133333,-34.5871333333
-58.3921133333,-34.5871333333
-58.3924533333,-34.5870533333
-58.3924533333,-34.5870533333
-58.3927933333,-34.5870866667
-58.3927516667,-34.5867916667
-58.393045,-34.586525
-58.393045,-34.586525
-58.3935283333,-34.586555
-58.3935283333,-34.586555
-58.3939666667,-34.5864983333
-58.3939666667,-34.5864983333
-58.3941766667,-34.586735
-58.3941766667,-34.586735
-58.3939883333,-34.5869933333
-58.3939883333,-34.5869933333
-58.3941333333,-34.5873016667
-58.3941333333,-34.5873016667
-58.394295,-34.5874116667
-58.394295,-34.5874116667
-58.394295,-34.5874116667
-58.394405,-34.5877216667
-58.3944766667,-34.587975
-58.394505,-34.5882216667
-58.3938883333,-34.58812
-58.3934033333,-34.5882416667
-58.39306,-34.5878866667
-58.3928533333,-34.5874883333
-58.3928516667,-34.5874833333
-58.3928516667,-34.5874833333
-58.39264,-34.5874283333
-58.3920833333,-34.5875333333
-58.3920833333,-34.5875333333
-58.391365,-34.5861366667
-58.3907416667,-34.5855166667
-58.3904866667,-34.5863416667
