10.075,56.245,6.6983,192,0.027909
10.075,56.245,6.6402,253,0.027667
10.075,56.245,6.6147,227,0.027561
10.075,56.245,6.6705,243,0.02791
10.075,56.245,6.7182,243,0.027761
10.075,56.245,6.698,302,0.027908
10.076,56.245,6.7698,323,0.029434
10.076,56.245,6.7516,260,0.028132
10.076,56.245,6.7208,316,0.028003
10.076,56.245,6.8051,268,0.028354
10.076,56.245,6.7943,280,0.02831
10.076,56.245,6.7904,233,0.028293
10.076,56.245,6.7605,244,0.028052
10.076,56.245,6.7334,289,0.028056
10.076,56.245,6.7816,178,0.028257
10.076,56.245,6.7689,225,0.028204
10.076,56.245,6.7869,230,0.028279
10.076,56.245,13.386,243,0.055775
10.077,56.245,6.6578,272,0.027741
10.077,56.245,6.6198,256,0.02713
10.077,56.244,6.6353,242,0.027647
10.077,56.244,6.6199,242,0.027583
10.077,56.244,6.5039,282,0.0271
10.077,56.244,6.3855,257,0.026606
10.077,56.244,6.3473,254,0.026447
10.077,56.244,6.3409,268,0.026531
10.077,56.244,6.3884,222,0.026508
10.077,56.244,6.3268,262,0.026252
10.077,56.244,6.3119,250,0.026299
10.077,56.244,6.2362,243,0.025984
10.077,56.244,6.1882,276,0.021338
10.077,56.244,6.1982,280,0.025826
10.078,56.244,6.0518,237,0.025216
10.078,56.244,5.8484,241,0.024369
10.078,56.244,2.9073,259,0.012114
10.078,56.244,2.9304,217,0.006118
10.078,56.244,5.7813,181,0.025027
10.078,56.244,5.959,287,0.024829
10.078,56.244,6.0837,159,0.025349
10.078,56.244,6.12,262,0.026493
10.078,56.244,6.1598,273,0.025559
10.078,56.244,6.1624,259,0.02557
10.078,56.244,6.1937,264,0.027047
10.078,56.244,6.2488,275,0.026146
10.078,56.244,6.1447,250,0.0266
10.078,56.244,6.0434,248,0.025076
10.078,56.244,6.0725,247,0.025515
10.079,56.243,6.0647,223,0.025375
10.079,56.243,6.103,234,0.026768
10.079,56.243,6.2133,218,0.025997
10.079,56.243,6.3969,233,0.026765
