D1Correct, D1Total, D2Correct, D2Total, DCorrect, DTotal, gain
3, 52, 35, 116, 38, 168, 0
0, 21, 35, 95, 35, 116, 0
6, 27, 29, 68, 35, 95, 0 
10, 26, 19, 42, 29, 68, 0
3, 15, 16, 27, 19, 42, 0.119
